Name,Latitude,Longitude,Description,,,,,,,
回収場所1,35.7977, 139.44551,回収場所2,,,,,,,
回収場所2,35.79712, 139.44584,回収場所3,,,,,,,
回収場所3,35.79668, 139.44692,回収場所4,,,,,,,
回収場所4,35.79722, 139.44765,回収場所5,,,,,,,
回収場所5,35.79765, 139.44818,回収場所6,,,,,,,
回収場所6,35.79805, 139.44857,回収場所7,,,,,,,
回収場所7,35.79784, 139.44962,回収場所8,,,,,,,
回収場所8,35.79744, 139.45034,回収場所9,,,,,,,
回収場所9,35.79699, 139.45123,回収場所10,,,,,,,
回収場所10,35.79623, 139.45113,回収場所11,,,,,,,
回収場所11,35.79586, 139.45158,回収場所12,,,,,,,
回収場所12,35.7951, 139.45179,回収場所13,,,,,,,
回収場所13,35.79752, 139.44749,回収場所14,,,,,,,
回収場所14,35.798, 139.4475,回収場所15,,,,,,,
回収場所15,35.79913, 139.44662,回収場所16,,,,,,,
回収場所16,35.79908, 139.446,回収場所17,,,,,,,
回収場所17,35.79907, 139.4457,回収場所18,,,,,,,
回収場所18,35.79912, 139.44501,,,,,,,,
